CALENDAR_ID,CALENDAR_NAME,EVENT TITLE,START DATE,END DATE,START TIME,END TIME,DURATION,CONTINUOUS,TRAINER,MULTIPLE TRAINERS,LOCATION,ADDITIONAL INFO TO DISPLAY AS NOTES,,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,15/11/2021,15/11/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,22/11/2021,22/11/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,29/11/2021,29/11/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,6/12/2021,6/12/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,13/12/2021,13/12/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,3/1/2022,3/1/2022,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,10/1/2022,10/1/2022,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,17/1/2022,17/1/2022,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,24/1/2022,24/1/2022,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,31/1/2022,31/1/2022,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,7/2/2022,7/2/2022,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,21/10/2021,21/10/2021,6:00 PM,10:30 PM,4:30,0,Willey TANG (NP),,"Taught by Willey, 6pm-10.30pm","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
